Rank by t,Freq,Freq(L),Freq(R),t值,搭配词
561,16,1,15,3.628341,其/r
562,15,13,2,3.623483,身影/n
563,15,7,8,3.623483,开口/n
564,15,6,9,3.623483,如同/d
565,16,10,6,3.622147,大/n
566,16,3,13,3.622147,转过身/v
567,17,11,6,3.618319,终于/d
568,15,3,12,3.617085,面对/v
569,16,9,7,3.609759,)/x
570,15,1,14,3.604290,提出/v
571,15,10,5,3.604290,般/u
572,14,1,13,3.602595,巨响/vn
573,15,5,10,3.597893,桌子/n
574,19,9,10,3.591520,找/v
575,15,7,8,3.585098,这话/r
576,15,13,2,3.585098,一会/m
577,14,9,5,3.582730,房门/n
578,14,1,13,3.576108,停顿/v
579,17,5,12,3.570244,进/v
580,14,10,4,3.569486,飞机/n
581,14,1,13,3.562864,做出/v
582,15,10,5,3.559508,娜/x
583,14,8,6,3.556242,眼神/n
584,16,5,11,3.554010,显得/v
585,15,4,11,3.553111,紧张/a
586,15,2,13,3.553111,火/n
587,14,10,4,3.549620,窗外/s
588,14,5,9,3.549620,跳动/vn
589,16,4,12,3.547815,露出/v
590,15,13,2,3.546713,灯光/n
591,15,8,7,3.546713,或是/c
592,14,2,12,3.542998,主意/n
593,16,4,12,3.541621,失去/v
594,16,11,5,3.541621,出去/v
595,14,10,4,3.536376,片刻/m
596,16,12,4,3.535427,睡/v
597,16,4,12,3.535427,打开/v
598,14,5,9,3.529754,人影/n
599,16,7,9,3.529232,见到/v
600,19,10,9,3.528993,不能/v
601,15,9,6,3.527521,那时/r
602,14,11,3,3.523132,语气/n
603,16,14,2,3.523038,就要/d
604,15,4,11,3.514726,对面/n
605,14,4,10,3.509888,不动/v
606,14,6,8,3.509888,通红/z
607,15,14,1,3.508328,夫/n
608,15,5,10,3.508328,起身/v
609,14,10,4,3.503266,窗户/n
610,15,13,2,3.501931,幸福/a
611,15,6,9,3.501931,三个/m
612,13,2,11,3.495600,中风/ns
613,13,0,13,3.488728,勒住/v
614,15,11,4,3.482739,是因为/c
615,16,9,7,3.479678,躺/v
616,15,10,5,3.476341,水/n
617,13,3,10,3.474984,大雨/n
618,13,12,1,3.468112,一刹那/t
619,13,2,11,3.468112,加快/v
620,14,6,8,3.463534,学生/n
621,14,4,10,3.463534,吹/v
622,14,2,12,3.463534,尖叫/v
623,13,9,4,3.461240,奇迹/n
624,16,9,7,3.461095,所/c
625,16,12,4,3.461095,讲/v
626,15,10,5,3.457149,担心/v
627,14,5,9,3.456912,平静/a
628,16,7,9,3.454901,问/n
629,15,9,6,3.450751,上面/f
630,15,10,5,3.450751,女儿/n
631,17,12,5,3.450057,或者/c
632,13,2,11,3.440624,爆发/v
633,13,13,0,3.440624,甫/d
634,14,2,12,3.430424,拍/v
635,14,7,7,3.430424,敌人/n
636,14,8,6,3.430424,呼吸/v
637,14,5,9,3.430424,某种/r
638,14,6,8,3.430424,恐怖/a
639,13,12,1,3.426880,天气/n
640,13,6,7,3.426880,关上/s
641,14,8,6,3.423802,眼光/n
642,13,11,2,3.420008,斯佳丽/nr
643,15,11,4,3.418764,句/q
644,13,3,10,3.413136,急促/a
645,14,3,11,3.410558,一时/d
646,14,6,8,3.410558,了解/v
647,14,7,7,3.410558,身旁/s
648,13,4,9,3.406264,闪电/v
649,14,11,3,3.403936,警察/v
650,15,9,6,3.399572,而是/c
651,14,9,5,3.397314,唱/v
652,16,4,12,3.392958,朝/p
653,13,5,8,3.392520,少女/n
654,18,9,9,3.389993,拿/v
655,14,11,3,3.384070,年轻人/n
656,13,0,13,3.378776,使劲/v
657,15,4,11,3.373982,全/a
658,13,3,10,3.371904,一惊/a
659,12,2,10,3.371118,从天而降/i
660,12,1,11,3.363966,僵住/v
661,13,3,10,3.358160,伸/v
