rank_mi,rank_t,freq,Freq(L),mi,t,collocate
11504,170,55,10,3.6123,6.809801,开/v
9562,257,34,9,3.9982,5.466056,动/v
6237,835,10,9,4.6046,3.032298,博士/n
6107,922,9,9,4.6332,2.879109,两步/m
11547,831,11,9,3.5816,3.039604,余/m
9551,246,35,9,4.0076,5.548261,低声/n
9561,720,12,9,4.0009,3.247732,米/q
13309,1072,9,9,3.1138,2.653444,点头/v
8890,863,10,9,4.2326,2.994069,跨/v
13917,454,22,9,3.0352,4.11823,送/v
9842,295,30,9,3.8508,5.097593,可怕/c
9844,385,23,9,3.8493,4.463091,窗外/s
12961,523,18,9,3.2921,3.809526,间/f
12963,1036,9,9,3.2921,2.693742,下午/t
8852,930,9,9,4.2921,2.846871,入睡/v
9737,791,11,9,3.9227,3.097924,克明/nr
11805,463,20,9,3.5221,4.082873,句/q
8851,929,9,9,4.2921,2.846871,光景/n
8888,426,20,9,4.2326,4.234253,熟悉/v
9881,555,16,9,3.7852,3.70986,秀/ag
11838,655,14,9,3.5051,3.412099,直到/v
11840,268,34,9,3.5034,5.316781,刚才/t
11772,411,22,9,3.5442,4.288339,房里/s
13005,628,15,9,3.2547,3.467201,特别/d
12027,615,15,9,3.3944,3.504658,思想/n
12017,851,11,9,3.4033,3.003154,烟/n
8997,866,10,9,4.1685,2.986423,风野/n
8977,772,11,9,4.1857,3.134374,电灯/n
6105,465,18,9,4.6332,4.071674,感动/v
6367,522,16,9,4.4159,3.812618,心上/s
11808,918,10,9,3.5221,2.887027,鸿/nr
13060,596,16,9,3.2409,3.57688,房子/n
11909,262,35,9,3.4882,5.388873,回到/v
11912,323,29,9,3.4867,4.904757,奇怪/v
11352,686,13,9,3.6783,3.323905,钱谦益/nr
11353,687,13,9,3.6783,3.323905,大哥/n
5549,174,49,9,4.8763,6.761671,一动/d
13344,1078,9,9,3.0806,2.645385,早上/t
13327,608,16,9,3.1034,3.534568,世界/n
13098,800,12,9,3.2002,3.087199,月亮/n
11300,683,13,9,3.713,3.330611,一年/m
11279,401,22,9,3.7421,4.339887,消失/n
12016,423,22,9,3.4033,4.2471,回家/n
9134,435,20,9,4.1375,4.218034,低头/n
9166,710,12,9,4.0971,3.261691,有时候/l
13097,799,12,9,3.2002,3.087199,由于/c
13091,328,30,9,3.2109,4.885705,拉/v
9151,569,15,9,4.1071,3.648242,猫/n
9136,609,14,9,4.1331,3.528414,注视/v
12037,551,17,9,3.3701,3.724347,王/nr
6376,75,120,9,4.3701,10.424731,有人/r
6319,751,11,9,4.5076,3.170824,理由/n
12928,499,19,9,3.3143,3.920695,名字/n
13001,595,16,9,3.2616,3.582924,嘴唇/n
