Rank by t,Freq,Freq(L),Freq(R),t值,搭配词
660,16,15,1,3.395543,怎样/r
661,13,12,1,3.390964,片刻/m
662,15,13,2,3.386044,多少/m
663,13,3,10,3.384258,说出/v
664,13,8,5,3.384258,曼桢/nr
665,12,0,12,3.373366,惊觉/a
666,16,7,9,3.371364,几乎/d
667,18,11,7,3.370712,真/d
668,13,8,5,3.364141,屋子里/n
669,13,4,9,3.364141,笑容/n
670,13,1,12,3.364141,伸出/v
671,12,0,12,3.359407,悟/v
672,13,5,8,3.357435,全身/n
673,15,8,7,3.354830,光/n
674,12,1,11,3.352427,仰起/v
675,13,7,6,3.350729,空中/s
676,13,10,3,3.350729,思索/n
677,12,1,11,3.345447,拉住/v
678,12,6,6,3.345447,丛中/f
679,16,3,13,3.341142,完全/ad
680,16,7,9,3.341142,先/d
681,12,0,12,3.338468,冒出/v
682,12,0,12,3.331488,改/v
683,13,9,4,3.330611,一年/m
684,13,3,10,3.330611,冲/v
685,21,12,9,3.326855,能/v
686,13,9,4,3.323905,钱谦益/nr
687,13,9,4,3.323905,大哥/n
688,13,5,8,3.323905,耳边/s
689,12,1,11,3.317529,收到/v
690,13,3,10,3.317200,招呼/v
691,13,11,2,3.310494,渐/d
692,15,9,6,3.304888,张/q
693,13,12,1,3.303788,走开/v
694,12,3,9,3.303569,愤怒/v
695,12,2,10,3.296589,异样/d
696,13,8,5,3.290376,口气/n
697,12,0,12,3.289610,咳/v
698,13,3,10,3.283670,吃惊/a
699,14,7,7,3.282861,希望/v
700,15,3,12,3.279917,应该/v
701,13,7,6,3.276965,一步/m
702,13,11,2,3.276965,客厅/n
703,12,4,8,3.275650,决心/v
704,12,5,7,3.275650,说不出/v
705,12,3,9,3.275650,一封信/i
706,13,8,5,3.270259,女/b
707,13,6,7,3.270259,一家/m
708,14,6,8,3.269937,痛苦/an
709,17,8,9,3.266947,您/r
710,12,9,3,3.261691,有时候/l
711,12,2,10,3.261691,马车/n
712,12,7,5,3.261691,杜/nr
713,15,1,14,3.261188,‘/x
714,14,10,4,3.257013,耳朵/n
715,12,2,10,3.254711,抱住/v
716,12,6,6,3.254711,呼吸/v
717,11,4,7,3.251015,紧跟着/l
718,12,10,2,3.247732,走近/v
719,12,4,8,3.247732,挣扎/v
720,12,9,3,3.247732,米/q
721,14,6,8,3.244090,一般/a
722,13,4,9,3.243435,起身/v
723,12,2,10,3.240752,哭声/n
724,13,10,3,3.236729,不久/a
725,15,9,6,3.236217,躺/v
726,12,4,8,3.233772,异常/d
727,12,5,7,3.233772,惊讶/a
728,13,4,9,3.230024,桌上/s
729,15,9,6,3.223731,长/a
730,11,1,10,3.221854,噗嗤/o
731,14,4,10,3.218242,由/p
732,13,6,7,3.216612,腿/n
733,12,8,4,3.212833,吴/nr
734,13,8,5,3.209906,女儿/n
735,11,0,11,3.207274,发见/v
736,12,1,11,3.205854,怀疑/v
737,12,11,1,3.205854,睡觉/v
738,11,3,8,3.199984,声调/n
739,11,11,0,3.199984,家玉/nr
740,12,10,2,3.198874,如今/t
741,11,1,10,3.192694,掉/zg
742,11,2,9,3.192694,叹一口气/i
743,12,5,7,3.191894,来看/u
744,12,1,11,3.191894,轻轻地/z
745,12,7,5,3.191894,摇头/v
746,16,14,2,3.190027,钱/n
747,11,10,1,3.185404,迪子/nr
748,12,4,8,3.184915,飞/n
749,12,7,5,3.177935,方向/n
750,11,3,8,3.170824,响亮/a
751,11,9,2,3.170824,理由/n
752,11,3,8,3.170824,语调/n
753,12,8,4,3.163976,走过/v
754,12,7,5,3.163976,蕙/ng
755,12,5,7,3.163976,半/m
756,12,3,9,3.163976,担心/v
757,11,4,7,3.163534,明/a
758,19,6,13,3.160773,那么/r
759,12,2,10,3.156996,成为/v
760,13,6,7,3.156259,直/d
761,14,9,5,3.153623,当时/t
762,12,2,10,3.150016,个人/n
